"ID","DATE.OF.INTERVIEW","Upgraded.toilet.recently.","Emptied.the.toilet.before.","What.happens.when.the.toilet.gets.full.","Last.time.emptied","Was.the.fee.you.paid.affordable.","How.often.do.you.empty.your.toilet.","Years to full","Months to full","Perception.of.the.fill.level","Is.emptying.feasible."
"2712","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,6,NA,"Almost full","Yes"
"2713","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","No"
"2714","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Almost full","Yes"
"2715","2017-04-01","No","No","Empty and reuse",NA,NA,NA,2,0,"Almost full","Yes"
"2716","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost empty","Yes"
"2717","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,NA,"Yes"
"2718","2017-04-01","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"2719","2017-04-01","No","No","Multiple options",NA,NA,NA,0,0,"Half-full","No"
"2720","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,1,NA,"Almost full","Yes"
"2721","2017-04-01","No","No","Empty and reuse",NA,NA,NA,1,NA,"Almost full","Yes"
"2722","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,4,"Almost full","Yes"
"2723","2017-04-01","No","No","Multiple options",NA,NA,NA,NA,NA,"Almost empty","Yes"
"2724","2017-04-01","No","No","Empty and reuse",NA,NA,NA,8,NA,"Almost full","No"
"2725","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Full","Yes"
"2726","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,0,1,"Full","Yes"
"2727","2017-04-01","No","No","Empty and reuse",NA,NA,NA,10,NA,"Half-full","Yes"
"2728","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Half-full","No"
"2729","2017-04-01","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Half-full","Yes"
"2730","2017-04-01","No","No","Empty and reuse",NA,NA,NA,6,0,"Almost full","Yes"
"2731","2017-04-01","Yes","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost empty","Yes"
"2732","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,5,"Almost full","Yes"
"2733","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost full","Yes"
"2734","2017-04-01","No","No","Other (please specify)",NA,NA,NA,0,0,"Half-full","Yes"
"2735","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,6,"Almost full","Yes"
"2736","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,5,NA,"Almost full","No"
"2737","2017-04-01","No","No","Empty and reuse",NA,NA,NA,10,NA,"Almost empty","No"
"2738","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,0,0,"Half-full","Yes"
"2739","2017-04-01","No","No","Multiple options",NA,NA,NA,NA,1,"Almost full","Yes"
"2740","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost empty","Yes"
"2741","2017-03-01","No","No","Empty and reuse",NA,NA,NA,0,6,"Almost full","Yes"
"2742","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,NA,NA
"2743","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost full","Yes"
"2744","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost empty","Yes"
"2745","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,8,NA,"Full","Yes"
"2746","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,12,NA,"Almost empty","No"
"2747","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Almost empty","Yes"
"2748","2017-04-01","No","No","Multiple options",NA,NA,NA,3,NA,"Half-full","Yes"
"2749","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost empty","Yes"
"2750","2017-04-01","No","No","Other (please specify)",NA,NA,NA,0,0,"Half-full","Yes"
"2751","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","No"
"2752","2017-04-01",NA,"No","Bury and dig another one",NA,NA,NA,5,0,"Half-full","Yes"
"2753","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,2,"Almost full","Yes"
"2754","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Half-full","Yes"
