"ID","DATE.OF.INTERVIEW","Upgraded.toilet.recently.","Emptied.the.toilet.before.","What.happens.when.the.toilet.gets.full.","Last.time.emptied","Was.the.fee.you.paid.affordable.","How.often.do.you.empty.your.toilet.","Years to full","Months to full","Perception.of.the.fill.level","Is.emptying.feasible."
"13826","2017-04-06","No","No","Bury and dig another one",NA,NA,NA,0,NA,"Half-full","Yes"
"13827","2017-04-06","No","No","Empty and reuse",NA,NA,NA,5,NA,"Full","Yes"
"13828","2017-04-06","Yes","Yes","Multiple options","Other (please specify)","Too expensive",NA,5,NA,"Almost full","Yes"
"13829","2017-04-06","No","Yes","Empty and reuse","Other (please specify)","Not affordable",NA,NA,NA,"Full","Yes"
"13830","2017-04-06","No","No","Empty and reuse",NA,NA,NA,0,0,"Half-full",NA
"13831","2017-04-06","No","No","Empty and reuse",NA,NA,NA,NA,2,"Full","Yes"
"13832","2017-04-06","No","No","Empty and reuse",NA,NA,NA,4,0,"Almost empty","Yes"
"13833","2017-04-06","No","No","Empty and reuse",NA,NA,NA,0,0,"Full","Yes"
"13834","2017-04-06","No","Yes","Abandone","Other (please specify)","Affordable","Every 2 years",0,0,"Half-full","No"
"13835","2017-04-07","No","No","Other (please specify)",NA,NA,NA,NA,NA,NA,"Yes"
"13836","2017-04-07","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost full","Yes"
"13837","2017-04-07","No","No","Bury and dig another one",NA,NA,NA,1,5,"Half-full","Yes"
"13838","2017-04-07","No","No","Empty and reuse",NA,NA,NA,6,0,"Almost empty","Yes"
"13839","2017-04-07","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","No"
"13840","2017-04-07","Yes","No","Bury and dig another one",NA,NA,NA,NA,9,"Half-full","Yes"
"13841","2017-04-07","No","No","Abandone",NA,NA,NA,0,0,"Full","Yes"
"13842","2017-04-07","No","No","Empty and reuse",NA,NA,NA,9,NA,"Almost full",NA
"13843","2017-04-07","No","No","Empty and reuse",NA,NA,NA,4,NA,"Almost empty","Yes"
"13844","2017-04-07","No","Yes","Empty and reuse","Other (please specify)",NA,"Every 2 years",1,NA,"Almost full","No"
"13845","2017-04-04",NA,"No","Multiple options",NA,NA,NA,6,NA,"Almost empty","Yes"
"13846","2017-04-07","No","Yes","Empty and reuse","Other (please specify)","Not affordable","Other (please specify)",NA,NA,NA,"Yes"
"13847","2017-04-07","No","No","Empty and reuse",NA,NA,NA,5,6,"Half-full","Yes"
"13848","2017-04-07","No","No","Other (please specify)",NA,NA,NA,NA,NA,NA,"Yes"
"13849","2017-04-07","Yes","No","Empty and reuse",NA,NA,NA,12,NA,"Half-full","No"
"13850","2017-04-07","No","No","Empty and reuse",NA,NA,NA,NA,1,"Full","Yes"
"13851","2017-04-07","No","No","Empty and reuse",NA,NA,NA,NA,7,"Almost empty","Yes"
"13852","2017-04-07","Yes","No","Bury and dig another one",NA,NA,NA,NA,NA,"Full","Yes"
"13853","2017-04-07","Yes","No","Other (please specify)",NA,NA,NA,NA,NA,NA,"Yes"
"13854","2017-04-07","No","Yes","Empty and reuse","2","Affordable","Every 1 year Six Months",1,NA,"Half-full","Yes"
"13855","2017-04-07","No",NA,"Other (please specify)",NA,NA,NA,NA,NA,"Half-full","Yes"
"13856","2017-04-07","No","Yes","Empty and reuse","Other (please specify)","Affordable","Every 1 year Six Months",NA,9,"Half-full","Yes"
"13857","2017-04-07","No","No","Other (please specify)",NA,NA,NA,NA,NA,NA,"Yes"
"13858","2017-04-07","Yes","Yes","Empty and reuse","Other (please specify)","Affordable","Other (please specify)",NA,1,NA,"Yes"
"13859","2017-04-07","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Half-full","No"
"13860","2017-04-07","No","No","Bury and dig another one",NA,NA,NA,1,0,"Half-full","Yes"
"13861","2017-04-08","No",NA,"Other (please specify)",NA,NA,NA,NA,NA,"Almost full","Yes"
"13862","2017-04-08","Yes","Yes","Empty and reuse","4","Too expensive","Every 1 year Six Months",NA,1,"Full","Yes"
"13863","2017-04-08","No","No","Bury and dig another one",NA,NA,NA,13,NA,"Almost empty","Yes"
"13864","2017-04-08","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","No"
"13865","2017-04-08","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Half-full","Yes"
"13866","2017-04-08","No","No","Bury and dig another one",NA,NA,NA,6,0,"Half-full","Yes"
"13867","2017-04-08","No",NA,"Other (please specify)",NA,NA,NA,NA,NA,"Half-full","Yes"
"13868","2017-04-08","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Half-full","Yes"
"13869","2017-04-08","No",NA,"Other (please specify)",NA,NA,NA,NA,NA,"Almost empty","Yes"
"13870","2017-04-08","Yes","Yes","Empty and reuse","Other (please specify)",NA,"Other (please specify)",5,NA,NA,"Yes"
"13871","2017-04-08","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Almost full","Yes"
"13872","2017-04-08","No","No","Other (please specify)",NA,NA,NA,NA,NA,NA,"Yes"
"13873","2017-04-08","No","No","Bury and dig another one",NA,NA,NA,15,NA,"Half-full","Yes"
"13874","2017-04-08","No","No","Empty and reuse",NA,NA,NA,NA,5,"Almost full","Yes"
"13875","2017-04-08","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Half-full","Yes"
"13876","2017-04-08","No","No","Empty and reuse",NA,NA,NA,8,NA,"Almost full","No"
"13877","2017-04-08","No","Yes","Empty and reuse","5",NA,"Other (please specify)",0,NA,"Almost full","Yes"
"13878","2017-04-08","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"13879","2017-04-08","No","Yes","Empty and reuse","Other (please specify)",NA,"Other (please specify)",NA,1,"Almost full","Yes"
"13880","2017-04-08","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost full","No"
"13881","2017-04-08","Yes",NA,"Other (please specify)",NA,NA,NA,NA,NA,"Almost full","Yes"
"13882","2017-04-08","Yes","Yes","Bury and dig another one","5","Too expensive","Every 1 year Six Months",1,NA,"Almost empty","Yes"
"13883","2017-04-08","No","No","Other (please specify)",NA,NA,NA,NA,NA,NA,"Yes"
"13884","2017-04-08","No","No","Other (please specify)",NA,NA,NA,NA,NA,NA,"Yes"
"13885","2017-04-08","No",NA,"Other (please specify)",NA,NA,NA,3,NA,"Half-full","Yes"
"13886","2017-04-08","Yes","No","Other (please specify)",NA,NA,NA,NA,NA,NA,"Yes"
"13887","2017-04-08","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost full","Yes"
"13888","2017-04-10","No","No","Bury and dig another one",NA,NA,NA,3,0,"Half-full","Yes"
"13889","2017-04-10","No","Yes","Empty and reuse","Other (please specify)","Affordable","Every 2 years",1,NA,"Almost empty","Yes"
"13890","2017-04-10",NA,"No","Other (please specify)",NA,NA,NA,1,NA,"Half-full","No"
"13891","2017-04-10","Yes","No","Empty and reuse",NA,NA,NA,5,NA,"Half-full","Yes"
"13892","2017-04-10","No","No","Empty and reuse",NA,NA,NA,10,0,"Half-full","Yes"
"13893","2017-04-10","No",NA,"Multiple options",NA,NA,NA,7,NA,"Half-full","Yes"
"13894","2017-04-10","No",NA,"Other (please specify)",NA,NA,NA,NA,NA,NA,"Yes"
"13895","2017-04-10",NA,"No","Empty and reuse",NA,NA,NA,6,NA,"Half-full",NA
"13896","2017-04-10","Yes","No","Other (please specify)",NA,NA,NA,12,NA,"Half-full","Yes"
"13897","2017-04-10","No","No","Empty and reuse",NA,NA,NA,NA,2,"Almost empty","No"
"13898","2017-04-10",NA,"Other (please specify)","Other (please specify)",NA,NA,NA,NA,NA,"Full","Yes"
"13899","2017-04-10","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Half-full","Yes"
"13900","2017-04-10","No",NA,"Other (please specify)",NA,NA,NA,NA,NA,NA,"Yes"
"13901","2017-04-10","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost full","No"
"13902","2017-04-10","No","Yes","Empty and reuse","3","Affordable","Every 2 years",2,NA,"Half-full","Yes"
"13903","2017-04-11","Yes","No","Empty and reuse",NA,NA,NA,NA,NA,NA,"Yes"
"13904","2017-04-11","No","No","Empty and reuse",NA,NA,NA,3,NA,"Almost full",NA
"13905","2017-04-11","No","No","Bury and dig another one",NA,NA,NA,1,0,"Almost empty","Yes"
"13906","2017-04-11","No","No","Empty and reuse",NA,NA,NA,12,NA,"Half-full","No"
"13907","2017-04-11","No","No","Empty and reuse",NA,NA,NA,8,0,"Empty","Yes"
"13908","2017-04-11","No","No","Abandone",NA,NA,NA,NA,NA,"Half-full","No"
"13909","2017-04-11","No","No","Bury and dig another one",NA,NA,NA,4,0,"Almost full","Yes"
"13910","2017-04-11","No","No","Empty and reuse",NA,NA,NA,NA,1,"Full","Yes"
"13911","2017-04-11","No","No","Empty and reuse",NA,NA,NA,3,0,"Half-full","Yes"
"13912","2017-04-11","Yes","Yes","Empty and reuse","3",NA,"Every 2 years",NA,6,"Half-full","Yes"
"13913","2017-04-11","No",NA,"Bury and dig another one",NA,NA,NA,5,0,"Almost empty","Yes"
"13914","2017-04-11","No","No","Bury and dig another one",NA,NA,NA,NA,NA,NA,"Yes"
"13915","2017-04-11","No","No","Empty and reuse",NA,NA,NA,NA,NA,NA,"Yes"
"13916","2017-04-11","No","No","Empty and reuse",NA,NA,NA,6,0,"Almost empty","Yes"
"13917","2017-04-11","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost full","Yes"
"13918","2017-04-11","No","No","Other (please specify)",NA,NA,NA,3,NA,"Half-full","No"
"13919","2017-04-11","No","No","Empty and reuse",NA,NA,NA,15,NA,"Half-full","No"
"13920","2017-04-11","No","No","Bury and dig another one",NA,NA,NA,3,0,"Half-full","Yes"
"13921","2017-04-12","No","No","Empty and reuse",NA,NA,NA,1,NA,"Almost full","Yes"
"13922","2017-04-10","No","Yes","Empty and reuse","3","Affordable","Other (please specify)",NA,NA,"Half-full","Yes"
"13923","2017-04-11","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost full","Yes"
"13924","2017-04-11","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"13925","2017-04-11","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"13926","2017-04-11","No","No","Bury and dig another one",NA,NA,NA,3,0,"Half-full","Yes"
"13927","2017-04-12","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Full","Yes"
"13928","2017-04-12","No","Yes","Empty and reuse","5","Very affordable","Every 2 years",2,0,"Half-full","Yes"
"13929","2017-04-19","No","No","Other (please specify)",NA,NA,NA,0,NA,"Almost empty","No"
"13930","2017-04-12","No","No","Bury and dig another one",NA,NA,NA,0,NA,"Half-full","No"
"13931","2017-04-12","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"13932","2017-04-12","No","Yes","Empty and reuse","4","Affordable",NA,1,NA,"Half-full","Yes"
"13933","2017-04-12","No","No","Bury and dig another one",NA,NA,NA,2,0,"Half-full","Yes"
"13934","2017-04-12","No","No","Empty and reuse",NA,NA,NA,2,NA,"Almost full","Yes"
"13935","2017-04-12","No","No","Empty and reuse",NA,NA,NA,0,NA,"Half-full","No"
"13936","2017-04-12","No","No","Bury and dig another one",NA,NA,NA,0,NA,"Half-full","Yes"
"13937","2017-04-12","No",NA,"Multiple options",NA,NA,NA,3,0,"Half-full","Yes"
"13938","2017-04-12","Yes","Yes","Empty and reuse","3",NA,NA,NA,NA,NA,"Yes"
"13939","2017-04-06","No","No","Multiple options",NA,NA,NA,NA,NA,"Full","Yes"
"13940","2017-04-12","No","No","Bury and dig another one",NA,NA,NA,2,0,"Almost full","Yes"
"13941","2017-04-13",NA,"No","Empty and reuse",NA,NA,NA,13,NA,"Half-full","No"
"13942","2017-04-13","No","No","Empty and reuse",NA,NA,NA,NA,NA,NA,"Yes"
"13943","2017-04-13","No","Yes","Empty and reuse","5","Very affordable","Every 2 years",2,NA,"Half-full","Yes"
"13944","2017-04-13","Yes","No","Empty and reuse",NA,NA,NA,NA,NA,"Empty","No"
"13945","2017-04-13","No","No","Bury and dig another one",NA,NA,NA,5,0,"Almost empty","Yes"
"13946","2017-04-13","No","No","Other (please specify)",NA,NA,NA,0,0,"Half-full","No"
"13947","2017-04-13","No","No","Empty and reuse",NA,NA,NA,3,0,"Half-full","Yes"
"13948","2017-04-13","No","No","Empty and reuse",NA,NA,NA,2,0,"Half-full","Yes"
"13949","2017-04-14","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Almost full","Yes"
"13950","2017-04-14","No","Yes","Empty and reuse","5","Affordable","Every 1 year Six Months",9,NA,"Almost full","Yes"
"13951","2017-04-14","No","Yes","Empty and reuse","Other (please specify)","Not affordable","Other (please specify)",3,NA,"Half-full","Yes"
"13952","2017-04-14","No","No","Empty and reuse",NA,NA,NA,5,0,"Almost empty","Yes"
"13953","2017-04-14","No","Yes","Empty and reuse","5",NA,"Every 1 year Six Months",2,NA,"Half-full","Yes"
"13954","2017-04-14","Yes","No","Bury and dig another one",NA,NA,NA,NA,9,"Half-full","Yes"
"13955","2017-04-14","No","No","Empty and reuse",NA,NA,NA,3,NA,"Almost empty","Yes"
"13956","2017-04-14","No","No","Bury and dig another one",NA,NA,NA,0,NA,"Almost full","Yes"
"13957","2017-04-14","No",NA,"Other (please specify)",NA,NA,NA,NA,NA,"Almost full","Yes"
"13958","2017-04-14","Yes","No","Bury and dig another one",NA,NA,NA,0,NA,"Half-full",NA
"13959","2017-04-14","No","No","Bury and dig another one",NA,NA,NA,5,NA,"Almost empty","Yes"
"13960",NA,"No","No","Empty and reuse",NA,NA,NA,0,4,"Almost full","Yes"
"13961","2017-04-14","No","No","Empty and reuse",NA,NA,NA,3,NA,"Half-full","Yes"
"13962","2017-04-14","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"13963","2017-04-14",NA,"No","Multiple options",NA,NA,NA,9,NA,"Almost full","No"
"13964","2017-04-17","No","No","Other (please specify)",NA,NA,NA,NA,NA,NA,"Yes"
"13965","2017-04-17","No","No","Empty and reuse",NA,NA,NA,3,0,"Half-full",NA
"13966","2017-04-17","No","No","Multiple options",NA,NA,NA,NA,NA,"Empty","Yes"
"13967","2017-04-17","No","No","Multiple options",NA,NA,NA,8,NA,"Almost full","Yes"
"13968","2017-04-17","No","No","Multiple options",NA,NA,NA,5,NA,"Half-full","Yes"
"13969","2017-04-17","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost full","Yes"
"13970","2017-04-17","No","Yes","Empty and reuse","Other (please specify)","Affordable","Other (please specify)",NA,NA,NA,"Yes"
"13971","2017-04-17","Yes","No","Bury and dig another one",NA,NA,NA,15,NA,"Almost empty","Yes"
"13972","2017-04-17","No","No","Empty and reuse",NA,NA,NA,5,0,"Almost full","Yes"
"13973","2017-04-17","No","No","Bury and dig another one",NA,NA,NA,8,NA,"Half-full","Yes"
"13974","2017-04-17","No","No","Empty and reuse",NA,NA,NA,2,0,"Half-full","Yes"
"13975","2017-04-18","No",NA,"Other (please specify)",NA,NA,NA,NA,NA,NA,"Yes"
"13976","2017-04-18","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Almost empty","Yes"
"13977","2017-04-18","No","No","Empty and reuse",NA,NA,NA,5,NA,"Half-full","Yes"
"13978","2017-04-18",NA,"No","Other (please specify)",NA,NA,NA,NA,NA,"Half-full","No"
"13979","2017-04-18","No","No","Empty and reuse",NA,NA,NA,5,NA,NA,"Yes"
"13980","2017-04-18","No","No","Empty and reuse",NA,NA,NA,15,NA,"Almost empty","No"
"13981","2017-04-18","No","No","Abandone",NA,NA,NA,NA,NA,"Half-full","No"
"13982","2017-04-18","No","No","Empty and reuse",NA,NA,NA,0,3,"Half-full","Yes"
"13983","2017-04-18","No","Yes","Empty and reuse","5","Affordable",NA,2,NA,"Almost full","Yes"
"13984","2017-04-18","No","No","Bury and dig another one",NA,NA,NA,1,0,"Full","Yes"
"13985","2017-04-18","No","No","Empty and reuse",NA,NA,NA,0,0,NA,NA
"13986","2017-04-18","Yes","Yes","Empty and reuse","5",NA,"Every Year",NA,3,"Full","Yes"
"13987","2017-04-18","No","No","Other (please specify)",NA,NA,NA,NA,NA,NA,"Yes"
"13988","2017-04-18","No","No","Other (please specify)",NA,NA,NA,6,NA,"Almost full","No"
"13989","2017-04-18","No","No","Empty and reuse",NA,NA,NA,3,NA,"Half-full","Yes"
"13990","2017-04-18","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Full","Yes"
"13991","2017-04-18","Yes","No","Empty and reuse",NA,NA,NA,5,NA,"Half-full","No"
"13992","2017-04-18","No","No","Bury and dig another one",NA,NA,NA,3,0,"Half-full","Yes"
"13993","2017-04-10","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Half-full","Yes"
"13994","2017-04-19","No","No","Multiple options",NA,NA,NA,10,NA,"Almost full","Yes"
"13995","2017-04-19","Yes","No","Other (please specify)",NA,NA,NA,NA,NA,"Half-full","Yes"
"13996","2017-04-19","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"13997","2017-04-19","No","No","Empty and reuse",NA,NA,NA,3,NA,"Half-full","No"
"13998","2017-04-19","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Half-full","No"
"13999","2017-04-19","No",NA,"Empty and reuse",NA,NA,NA,10,NA,"Half-full","Yes"
"14000","2017-04-19",NA,"No","Empty and reuse",NA,NA,NA,8,NA,"Half-full","No"
"14001","2017-04-20","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full",NA
"14002","2017-04-20","No","No","Empty and reuse",NA,NA,NA,5,NA,"Almost empty","Yes"
"14003","2017-04-20","No","No","Empty and reuse",NA,NA,NA,0,0,"Almost full","Yes"
"14004","2017-04-20","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"14005","2017-04-20","Yes","No","Bury and dig another one",NA,NA,NA,20,NA,"Almost empty","Yes"
"14006","2017-10-13","Yes","No","Bury and dig another one",NA,NA,NA,6,0,"Almost empty","Yes"
"14007","2017-10-14","No","No","Empty and reuse",NA,NA,NA,4,NA,"Half-full","No"
"14008","2017-10-14","Yes","Yes","Empty and reuse","4","Affordable","Every 2 years",2,NA,"Almost full","Yes"
"14009","2017-10-14","Yes","No","Empty and reuse",NA,NA,NA,7,3,"Almost full","Yes"
"14010","2017-10-14","No","No","Empty and reuse",NA,NA,NA,2,0,"Almost full","Yes"
"14011","2017-10-14","No","No","Bury and dig another one",NA,NA,NA,NA,2,"Almost full","Yes"
"14012","2017-10-14","No","No","Bury and dig another one",NA,NA,NA,5,NA,"Half-full","Yes"
"14013","2017-10-14","Yes","No","Other (please specify)",NA,NA,NA,0,0,"Half-full","Yes"
"14014","2017-10-14","Yes","No","Empty and reuse",NA,NA,NA,NA,2,"Almost full","Yes"
"14015","2017-10-14","No","No","Empty and reuse",NA,NA,NA,1,NA,"Half-full","Yes"
"14016","2017-10-14","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Almost empty","Yes"
"14017","2017-10-14","No","No","Abandone",NA,NA,NA,0,0,"Almost full","Yes"
"14018","2017-10-14","No","No","Empty and reuse",NA,NA,NA,10,5,"Almost full","Yes"
"14019","2017-10-14","No","No","Other (please specify)",NA,NA,NA,3,NA,"Half-full","Yes"
"14020","2017-10-14","No","No","Empty and reuse",NA,NA,NA,1,NA,"Almost empty","Yes"
"14021","2017-10-14","No","No","Empty and reuse",NA,NA,NA,12,NA,NA,"Yes"
"14022","2017-10-14","No","Yes","Abandone","5","Too expensive","Monthly",5,NA,NA,NA
"14023","2017-10-16","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"14024","2017-10-16","No","No","Abandone",NA,NA,NA,2,NA,"Half-full","No"
"14025","2017-10-16","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Half-full","Yes"
"14026","2017-10-16","No","No","Empty and reuse",NA,NA,NA,3,NA,"Half-full","Yes"
"14027","2017-10-16",NA,"Other (please specify)","Empty and reuse",NA,NA,NA,3,NA,"Half-full","No"
"14028","2017-10-16","Yes","No","Empty and reuse",NA,NA,NA,15,NA,"Half-full","Yes"
"14029","2017-10-16","No","No","Empty and reuse",NA,NA,NA,3,0,"Almost empty","Yes"
"14030","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,NA,0,"Almost full","Yes"
"14031","2017-10-23","Yes","Yes","Abandone","5","Very affordable","Every 9 months",NA,3,"Full","Yes"
"14032","2017-10-16","Yes","No","Bury and dig another one",NA,NA,NA,5,0,"Full","No"
"14033","2017-10-16","Yes","Yes","Empty and reuse","3","Affordable","Other (please specify)",10,10,"Almost empty","Yes"
"14034","2017-10-16","No","No","Abandone",NA,NA,NA,5,NA,"Almost full","Yes"
"14035","2017-10-16","No","No","Empty and reuse",NA,NA,NA,5,NA,"Half-full","No"
"14036","2017-10-16","Yes","No","Other (please specify)",NA,NA,NA,NA,6,"Almost full","Yes"
"14037","2017-10-16","No","No","Empty and reuse",NA,NA,NA,8,NA,"Almost empty","No"
"14038","2017-10-16","No","No","Abandone",NA,NA,NA,5,NA,"Half-full","Yes"
"14039","2017-10-16","No","Yes","Empty and reuse","5","Affordable","Every Year",1,0,"Almost empty","Yes"
"14040","2017-10-16","No","No","Empty and reuse",NA,NA,NA,3,NA,"Half-full","Yes"
"14041","2017-10-16","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"14042","2017-10-16","Yes","Yes","Bury and dig another one","5","Too expensive","Other (please specify)",10,10,"Almost empty","Yes"
"14043","2017-10-16","No","No","Multiple options",NA,NA,NA,2,NA,"Half-full","Yes"
"14044","2017-10-16",NA,"No","Bury and dig another one",NA,NA,NA,6,NA,NA,"Yes"
"14045","2017-10-16","Yes","Yes","Bury and dig another one","5","Too expensive","Every Year",0,1,"Half-full","Yes"
"14046","2017-10-16","Yes","Yes","Empty and reuse","Other (please specify)","Not affordable","Other (please specify)",5,3,"Almost empty","Yes"
"14047","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,2,0,"Half-full","Yes"
"14048","2017-10-14","No","No","Bury and dig another one",NA,NA,NA,4,NA,"Half-full","Yes"
"14049","2017-10-16","No","No","Abandone",NA,NA,NA,0,0,"Half-full","Yes"
"14050","2017-10-16","No","Yes","Empty and reuse","4","Too expensive","Every six months",NA,5,"Almost full","Yes"
"14051","2017-10-16","No","No","Empty and reuse",NA,NA,NA,10,10,"Almost empty","Yes"
"14052","2017-10-16","Yes","Yes","Bury and dig another one","4","Affordable","Other (please specify)",1,0,"Almost empty","Yes"
"14053","2017-10-16","No","Yes","Empty and reuse","3","Affordable","Every 9 months",NA,9,"Almost full","Yes"
"14054","2017-10-16","No","No","Abandone",NA,NA,NA,3,NA,"Almost empty","Yes"
"14055","2017-10-16","No","No","Other (please specify)",NA,NA,NA,8,0,"Half-full","No"
"14056","2017-10-16","No","Yes","Bury and dig another one","5","Affordable","Every 1 year Six Months",NA,1,"Almost full","Yes"
"14057","2017-10-16","No","No","Empty and reuse",NA,NA,NA,5,6,"Almost full","Yes"
"14058","2017-10-17","Yes","Yes","Abandone","5","Affordable","Every 1 year Six Months",1,NA,"Half-full","Yes"
"14059","2017-10-17","No","Yes","Bury and dig another one","5","Affordable","Every 1 year Six Months",2,NA,"Almost empty","Yes"
"14060","2017-10-17","No","No","Abandone",NA,NA,NA,1,NA,"Full","No"
"14061","2017-10-17","No","No","Abandone",NA,NA,NA,1,NA,"Almost full","Yes"
"14062","2017-10-17","No","No","Other (please specify)",NA,NA,NA,7,10,"Almost empty","Yes"
"14063","2017-10-17","No","No","Empty and reuse",NA,NA,NA,NA,5,"Half-full","Yes"
"14064","2017-10-17","No","No","Bury and dig another one",NA,NA,NA,0,8,"Almost full","No"
"14065","2017-10-17","No","No","Empty and reuse",NA,NA,NA,NA,NA,NA,"Yes"
"14066","2017-10-17","No","No","Abandone",NA,NA,NA,2,NA,"Almost full","Yes"
"14067","2017-10-17","Yes","Yes","Empty and reuse","5","Too expensive","Every Year",1,0,"Almost empty","Yes"
"14068","2017-10-17","No","No","Multiple options",NA,NA,NA,5,6,"Half-full",NA
"14069","2017-10-17",NA,"No","Abandone",NA,NA,NA,NA,1,"Almost full","Yes"
"14070","2017-10-17","No","No","Bury and dig another one",NA,NA,NA,1,0,"Half-full","Yes"
"14071","2017-10-17","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"14072","2017-10-17","No","No","Abandone",NA,NA,NA,1,NA,"Full","Yes"
"14073","2017-10-17","No","No","Empty and reuse",NA,NA,NA,1,NA,"Half-full","Yes"
"14074","2017-10-17","No","Yes","Empty and reuse","5","Affordable","Every Year",2,NA,"Almost empty","Yes"
"14075","2017-10-17","No","No","Abandone",NA,NA,NA,22,NA,"Full","Yes"
"14076","2017-10-17","No","No","Empty and reuse",NA,NA,NA,8,10,"Almost empty","Yes"
"14077","2017-10-17","No","No","Bury and dig another one",NA,NA,NA,2,NA,"Half-full","Yes"
"14078","2017-10-17","No","No","Bury and dig another one",NA,NA,NA,18,NA,"Almost empty","Yes"
"14079","2017-10-17","No","No","Empty and reuse",NA,NA,NA,3,NA,"Almost empty","Yes"
"14080","2017-10-17","No","No","Empty and reuse",NA,NA,NA,10,NA,"Almost full","Yes"
"14081","2017-10-17","No","No","Empty and reuse",NA,NA,NA,3,0,"Half-full","Yes"
"14082","2017-10-17","No","No","Empty and reuse",NA,NA,NA,2,0,"Half-full","Yes"
"14083","2017-10-17","Yes","No","Empty and reuse",NA,NA,NA,1,NA,"Half-full","Yes"
"14084","2017-10-17","No","Yes","Bury and dig another one","4","Affordable","Every Year",5,NA,"Half-full","Yes"
"14085","2017-10-17","No","Yes","Empty and reuse","3","Affordable","Every 3 months",NA,3,"Half-full","Yes"
"14086","2017-10-17","Yes","Yes","Empty and reuse","5",NA,"Other (please specify)",0,NA,NA,"Yes"
"14087","2017-10-17",NA,"Yes","Empty and reuse","3","Affordable","Every 3 months",NA,3,"Half-full","Yes"
"14088","2017-10-17","No","No","Empty and reuse",NA,NA,NA,NA,9,"Half-full","Yes"
"14089","2017-10-17","No","Yes","Bury and dig another one","4","Affordable","Every 9 months",NA,6,"Half-full","Yes"
"14090","2017-10-17","No","No","Empty and reuse",NA,NA,NA,10,10,"Almost empty","Yes"
"14091","2017-10-17","No","Yes","Bury and dig another one","3","Affordable","Every six months",1,NA,"Almost empty","Yes"
"14092","2017-10-17","No","No","Bury and dig another one",NA,NA,NA,NA,5,"Half-full","Yes"
"14093","2017-10-17","No","No","Empty and reuse",NA,NA,NA,8,10,"Almost empty","Yes"
"14094","2017-10-16","No","Yes","Empty and reuse","5","Very affordable",NA,NA,NA,"Half-full","Yes"
"14095","2017-10-16","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost empty","Yes"
"14096","2017-10-14","Yes","No","Empty and reuse",NA,NA,NA,NA,NA,"Almost empty",NA
"14097","2017-10-14","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Full","No"
"14098","2017-10-17","Yes","No","Other (please specify)",NA,NA,NA,1,NA,NA,"Yes"
"14099","2017-10-18","No",NA,"Bury and dig another one",NA,NA,NA,NA,NA,"Almost full","Yes"
"14100","2017-10-18","No","No","Bury and dig another one",NA,NA,NA,0,0,"Almost full","Yes"
"14101","2017-10-18","No","No","Empty and reuse",NA,NA,NA,NA,1,"Full","Yes"
"14102","2017-10-18","No","Yes","Empty and reuse","Other (please specify)","Not affordable","Every 9 months",NA,6,"Almost full","Yes"
"14103","2017-10-18","No","No","Bury and dig another one",NA,NA,NA,NA,5,"Half-full","Yes"
"14104","2017-10-18","No","No","Bury and dig another one",NA,NA,NA,NA,5,"Half-full","Yes"
