"","DATE.OF.INTERVIEW","X1.9..latitude.","X1.9..longitude.","X1.9..altitude.","area.m3","Perception.of.the.fill.level","people.using.toilet","days.to.fill","date.full","Transport"
"7975","2017-11-06",-15.440185,28.227165,1252.7,4.5,"Almost empty",61,432.248975409836,"2019-01-12","Vacuum Tanker"
"7976","2017-11-06",-15.43898,28.227125,1271.5,4.5,"Half-full",14,1255.58035714286,"2021-04-14","Vacuum Tanker"
"7977","2017-11-06",-15.4402967,28.2280483,1271.7,4.5,"Half-full",5,3515.625,"2027-06-22","Vacuum Tanker"
"7978","2017-11-06",-15.439385,28.22818,1276.5,4.5,"Half-full",7,2511.16071428571,"2024-09-21","Vacuum Tanker"
"7979","2017-11-06",-15.4396333,28.2281317,1281,4.5,"Half-full",11,1598.01136363636,"2022-03-23","Vacuum Tanker"
"7980","2017-11-06",-15.4392933,28.2263233,1263.6,12.5,"Almost empty",7,10463.1696428571,"2046-06-30","Vacuum Tanker"
"7981","2017-11-06",-15.4395433,28.226015,1277.6,4.5,"Half-full",6,2929.6875,"2025-11-13","Vacuum Tanker"
"7982","2017-11-06",-15.43995,28.2275433,1266,4.5,"Half-full",10,1757.8125,"2022-08-29","Vacuum Tanker"
"7983","2017-11-06",-15.4396617,28.2281183,1280.6,4.5,"Half-full",5,3515.625,"2027-06-22","Vacuum Tanker"
"7984","2017-11-06",-15.4401367,28.22678,1274.6,12.5,"Almost full",7,3487.72321428571,"2027-05-25","Vacuum Tanker"
"7985","2017-11-06",-15.4392783,28.22719,1272,4.5,"Half-full",10,1757.8125,"2022-08-29","Vacuum Tanker"
"7986","2017-11-06",-15.43987,28.2264083,1275.8,4.5,"Half-full",7,2511.16071428571,"2024-09-21","Vacuum Tanker"
"7987","2017-11-06",-15.4395767,28.2259167,1277.6,4.5,"Almost empty",9,2929.6875,"2025-11-13","Vacuum Tanker"
"7988","2017-11-06",-15.4398517,28.228115,1283.2,4.5,"Half-full",6,2929.6875,"2025-11-13","Vacuum Tanker"
"7989","2017-11-06",-15.4393183,28.227315,1278.1,12.5,"Half-full",15,3255.20833333333,"2026-10-05","Vacuum Tanker"
"7990","2017-11-06",-15.4395033,28.2285583,1273.4,4.5,"Half-full",11,1598.01136363636,"2022-03-23","Vacuum Tanker"
"7991","2017-11-06",-15.4400517,28.22828,1282.2,4.5,"Half-full",10,1757.8125,"2022-08-29","Vacuum Tanker"
"7992","2017-11-06",-15.4399367,28.2264333,1276.9,4.5,"Half-full",20,878.90625,"2020-04-02","Vacuum Tanker"
"7993","2017-11-06",-15.4396067,28.227215,1278.4,4.5,"Half-full",13,1352.16346153846,"2021-07-20","Vacuum Tanker"
"7994","2017-11-06",-15.4407017,28.2269483,1275.1,4.5,"Almost empty",14,1883.37053571429,"2023-01-02","Vacuum Tanker"
"7995","2017-11-06",-15.43972,28.2261967,1272.3,4.5,"Almost empty",6,4394.53125,"2029-11-17","Vacuum Tanker"
"7996","2017-11-06",-15.4396483,28.2273383,1282.2,4.5,"Half-full",9,1953.125,"2023-03-13","Vacuum Tanker"
"7997","2017-11-06",-15.4400083,28.22753,1266.9,4.5,"Half-full",8,2197.265625,"2023-11-12","Vacuum Tanker"
"7998","2017-11-06",-15.4397633,28.2282633,1292.9,0,"Almost full",5,0,"2017-11-06","Light Truck"
"7999","2017-11-06",-15.4407583,28.2267833,1279.8,4.5,"Half-full",4,4394.53125,"2029-11-17","Vacuum Tanker"
"8000","2017-11-06",-15.44059,28.22612,1266.9,4.5,"Almost empty",6,4394.53125,"2029-11-17","Vacuum Tanker"
"8001","2017-11-06",-15.43971,28.227395,1283.5,4.5,"Half-full",6,2929.6875,"2025-11-13","Vacuum Tanker"
"8002","2017-11-06",-15.4402567,28.2265767,1278,4.5,"Almost full",10,878.90625,"2020-04-02","Vacuum Tanker"
"8003","2017-11-06",-15.4403517,28.2263,1271.5,12.5,"Almost full",12,2034.50520833333,"2023-06-02","Vacuum Tanker"
"8004","2017-11-06",-15.439875,28.2285267,1291.1,4.5,"Almost full",8,1098.6328125,"2020-11-08","Vacuum Tanker"
"8005","2017-11-06",-15.440615,28.22664,1269,4.5,"Half-full",6,2929.6875,"2025-11-13","Vacuum Tanker"
"8006","2017-11-06",-15.441015,28.2256817,1269.4,4.5,"Half-full",7,2511.16071428571,"2024-09-21","Vacuum Tanker"
"8007","2017-11-06",-15.440365,28.227705,1281.3,4.5,"Half-full",1,17578.125,"2065-12-22","Vacuum Tanker"
"8008","2017-11-06",-15.4404867,28.2265567,1278.4,4.5,"Almost full",11,799.005681818182,"2020-01-14","Vacuum Tanker"
"8009","2017-11-06",-15.440715,28.22556,1281.7,4.5,"Almost empty",7,3766.74107142857,"2028-02-28","Vacuum Tanker"
"8010","2017-11-06",-15.4323354097605,28.3203506469727,NA,4.5,"Almost full",9,976.5625,"2020-07-09","Vacuum Tanker"
"8011","2017-11-06",-15.4405067,28.2276367,1270.7,4.5,"Half-full",12,1464.84375,"2021-11-09","Vacuum Tanker"
"8012","2017-11-06",-15.4401583,28.2261217,1264.5,4.5,"Half-full",9,1953.125,"2023-03-13","Vacuum Tanker"
"8013","2017-11-06",NA,NA,NA,4.5,"Half-full",10,1757.8125,"2022-08-29","Vacuum Tanker"
"8014","2017-11-06",-15.4412867,28.2254483,1266.7,12.5,"Almost empty",5,14648.4375,"2057-12-14","Vacuum Tanker"
"8015","2017-11-06",-15.4404533,28.2260383,1276,4.5,"Half-full",4,4394.53125,"2029-11-17","Vacuum Tanker"
"8016","2017-11-06",-15.4402683,28.2264433,1306.6,12.5,NA,6,8138.02083333333,"2040-02-17","Vacuum Tanker"
"8017","2017-11-06",-15.4402217,28.2273483,1268.1,12.5,"Half-full",14,3487.72321428571,"2027-05-25","Vacuum Tanker"
"8018","2017-11-06",-15.44122,28.2252283,1269.4,12.5,"Almost empty",6,12207.03125,"2051-04-09","Vacuum Tanker"
"8019","2017-11-06",-15.4408117,28.2248717,1282.2,4.5,"Almost empty",7,3766.74107142857,"2028-02-28","Vacuum Tanker"
"8020","2017-11-06",-15.4403533,28.2258833,1307,4.5,"Almost empty",3,8789.0625,"2041-11-29","Vacuum Tanker"
"8021","2017-11-06",-15.440215,28.2258733,1259.7,4.5,"Half-full",3,5859.375,"2033-11-21","Vacuum Tanker"
"8022","2017-11-06",-15.440355,28.2274617,1262.5,4.5,"Half-full",8,2197.265625,"2023-11-12","Vacuum Tanker"
"8023","2017-11-06",-15.44032,28.2257717,1280.4,12.5,"Half-full",8,6103.515625,"2034-07-23","Vacuum Tanker"
"8024","2017-11-06",-15.4403933,28.2257283,1307.4,4.5,NA,7,2511.16071428571,"2024-09-21","Vacuum Tanker"
"8025",NA,-15.44073,28.2249417,1271,4.5,"Almost empty",7,3766.74107142857,NA,"Vacuum Tanker"
"8026","2017-11-06",-15.440355,28.22555,1270.1,4.5,"Half-full",8,2197.265625,"2023-11-12","Vacuum Tanker"
"8027","2017-11-06",-15.4403017,28.2252867,1307.9,4.5,"Half-full",6,2929.6875,"2025-11-13","Vacuum Tanker"
"8028","2017-11-06",-15.4405567,28.22488,1268.7,4.5,"Half-full",15,1171.875,"2021-01-20","Vacuum Tanker"
"8029","2017-11-06",-15.440455,28.2254217,1274.4,12.5,"Half-full",5,9765.625,"2044-08-01","Vacuum Tanker"
"8030","2017-11-06",-15.4400467,28.22534,1295.1,4.5,"Half-full",16,1098.6328125,"2020-11-08","Vacuum Tanker"
"8031","2017-11-06",-15.4323354097605,28.3203506469727,NA,4.5,"Half-full",13,1352.16346153846,"2021-07-20","Vacuum Tanker"
"8032","2017-11-06",-15.4406167,28.2252767,1268.3,4.5,"Almost full",9,976.5625,"2020-07-09","Vacuum Tanker"
"8033","2017-11-06",-15.439845,28.2244167,1267.7,4.5,"Half-full",8,2197.265625,"2023-11-12","Vacuum Tanker"
"8034","2017-11-06",-15.4393383,28.2242683,1268.6,4.5,"Half-full",4,4394.53125,"2029-11-17","Vacuum Tanker"
"8035","2017-11-06",-15.4393083,28.2244,1262.2,0,"Half-full",7,0,"2017-11-06","Vacuum Tanker"
"8036","2017-11-06",-15.4401567,28.225265,1291.7,4.5,"Half-full",6,2929.6875,"2025-11-13","Vacuum Tanker"
"8037","2017-11-06",-15.4403983,28.2248483,1276,12.5,"Half-full",11,4438.92045454545,"2029-12-31","Vacuum Tanker"
"8038","2017-11-06",-15.44029,28.2252383,1271.4,12.5,"Almost empty",5,14648.4375,"2057-12-14","Vacuum Tanker"
"8039","2017-11-06",-15.4393533,28.223995,1270.3,4.5,"Half-full",6,2929.6875,"2025-11-13","Vacuum Tanker"
"8040","2017-11-06",-15.4399717,28.2255183,1290,4.5,"Almost full",18,488.28125,"2019-03-09","Vacuum Tanker"
"8041","2017-11-06",-15.4392467,28.2241717,1277,4.5,"Half-full",19,925.164473684211,"2020-05-19","Vacuum Tanker"
"8042","2017-11-06",-15.4400467,28.2242517,1288.8,0,"Almost full",9,0,"2017-11-06","Vacuum Tanker"
"8043","2017-11-06",-15.4400467,28.2252267,1272,4.5,"Half-full",8,2197.265625,"2023-11-12","Vacuum Tanker"
"8044","2017-11-06",-15.4323354097605,28.3203506469727,NA,4.5,"Half-full",3,5859.375,"2033-11-21","Vacuum Tanker"
"8045","2017-11-06",-15.4401383,28.2247717,1273.3,12.5,"Almost empty",6,12207.03125,"2051-04-09","Vacuum Tanker"
"8046","2017-11-06",-15.440155,28.2249433,1249.1,12.5,"Half-full",5,9765.625,"2044-08-01","Vacuum Tanker"
"8047","2017-11-06",-15.4399167,28.2258567,1293.4,4.5,"Almost full",13,676.081730769231,"2019-09-13","Vacuum Tanker"
"8048","2017-11-06",-15.4395483,28.22351,1284.1,12.5,"Almost empty",11,6658.38068181818,"2036-01-29","Vacuum Tanker"
"8049","2017-10-25",-15.4280433,28.22984,1272,12.5,"Half-full",7,6975.44642857143,"2036-11-29","Push Cart"
"8050","2017-11-06",-15.4399583,28.22474,1271.9,12.5,"Half-full",4,12207.03125,"2051-04-09","Vacuum Tanker"
"8051","2017-11-06",-15.439875,28.2261867,1291.6,4.5,"Half-full",13,1352.16346153846,"2021-07-20","Vacuum Tanker"
"8052","2017-10-21",-15.4230433,28.22902,1277.4,4.5,"Half-full",10,1757.8125,"2022-08-13","Vacuum Tanker"
"8053","2017-11-06",-15.4398583,28.2252283,1266,4.5,"Half-full",6,2929.6875,"2025-11-13","Vacuum Tanker"
"8054","2017-11-06",-15.4395217,28.22338,1280.6,4.5,"Half-full",8,2197.265625,"2023-11-12","Vacuum Tanker"
"8055","2017-11-06",-15.4397017,28.2233183,1272.4,4.5,"Half-full",7,2511.16071428571,"2024-09-21","Vacuum Tanker"
"8056","2017-11-06",-15.43971,28.2232583,1269.5,4.5,"Half-full",22,799.005681818182,"2020-01-14","Vacuum Tanker"
"8057","2017-11-06",-15.4401433,28.2260633,1299.3,4.5,"Almost full",8,1098.6328125,"2020-11-08","Vacuum Tanker"
"8058","2017-11-06",-15.43983,28.2247517,1270.1,4.5,"Almost empty",4,6591.796875,"2035-11-23","Vacuum Tanker"
"8059","2017-11-06",-15.4398333,28.2228733,1276,4.5,"Almost full",9,976.5625,"2020-07-09","Vacuum Tanker"
"8060","2017-11-06",-15.4397683,28.2252133,1265.7,4.5,"Half-full",11,1598.01136363636,"2022-03-23","Vacuum Tanker"
"8061","2017-11-06",-15.4391117,28.224455,1249.2,0,"Almost full",12,0,"2017-11-06","Vacuum Tanker"
"8062","2017-11-06",-15.4399433,28.2249117,1264.4,4.5,"Half-full",7,2511.16071428571,"2024-09-21","Push Cart"
"8063","2017-11-06",-15.4323354097605,28.3203506469727,NA,4.5,"Almost empty",6,4394.53125,"2029-11-17","Vacuum Tanker"
"8064","2017-11-06",-15.4397883,28.2246233,1269.7,4.5,"Half-full",5,3515.625,"2027-06-22","Vacuum Tanker"
"8065","2017-11-06",-15.43986,28.22233,1264.5,4.5,"Almost empty",8,3295.8984375,"2026-11-14","Vacuum Tanker"
"8066","2017-11-06",-15.4394317,28.22507,1277.7,4.5,"Half-full",12,1464.84375,"2021-11-09","Vacuum Tanker"
"8067","2017-11-06",-15.4396117,28.2249083,1276.5,4.5,"Almost empty",7,3766.74107142857,"2028-02-28","Vacuum Tanker"
