"latitude","longitude","altitude"
-15.4304033,28.2444417,1279.9
-15.4305783,28.2446333,1264.7
-15.430445,28.2440517,1283.5
-15.422845,28.2433783,1277.5
-15.4229233,28.24359,1266.7
-15.4228067,28.2438483,1059
-15.4229683,28.2440617,1284.8
-15.4227683,28.2443467,1265.6
-15.430625,28.2451983,1292.6
-15.4293817,28.24338,1271.8
-15.4294417,28.2432633,1266.8
-15.4231533,28.2440817,1275.6
-15.431015,28.2452367,1268.5
-15.4231,28.24433,1272.5
-15.4294983,28.2434733,1269.2
-15.4283867,28.2428467,1233.2
-15.4230433,28.2433767,1278.9
-15.4231083,28.2435517,1275.4
-15.423065,28.2438033,1277.1
-15.4303133,28.2434433,1272.1
-15.4232417,28.2435033,1277.8
-15.4233167,28.243855,1280.6
-15.42332,28.2437133,1274.7
-15.42862,28.2429283,1252.7
-15.4232183,28.243335,1268.5
-15.4302733,28.243505,1296.3
-15.4233717,28.2442083,1273.3
-15.4298333,28.2430717,1269.8
-15.4233283,28.2440283,1278.4
NA,NA,NA
-15.4314917,28.2458,1282.2
-15.4233867,28.2446317,1266.8
-15.4234567,28.2449483,1280
-15.4234067,28.24445,1268.1
-15.4234917,28.245095,1269
-15.4315267,28.245885,1278
-15.4303,28.24593,1256.1
-15.4237033,28.2451217,1283.7
-15.42386,28.2455383,1280.5
-15.42575,28.2416133,1280.4
-15.4256267,28.2411067,1287.9
-15.4240817,28.2447433,1265.6
-15.424105,28.2454483,1295
-15.4261167,28.241705,1277.3
-15.4240283,28.2446617,1274.5
-15.425945,28.24108,1285.4
-15.4240533,28.2453233,1267
-15.426125,28.2416467,1279.1
-15.423905,28.2445283,1275.1
-15.4241867,28.2451383,1305.2
-15.4257817,28.24089,1283.2
-15.4305233,28.2462367,1294.7
-15.4240317,28.24447,1259.7
-15.42421,28.2452383,1271.6
-15.4240567,28.2443583,1273.1
-15.4265167,28.2408517,1278.8
-15.4261683,28.240855,1255
-15.42426,28.24556,1291.7
-15.4261933,28.2412083,1298.7
-15.42368,28.2446317,1268.9
-15.4236083,28.2444933,1283.7
-15.4309117,28.2458833,1272.7
-15.431135,28.24615,1286.1
-15.4237483,28.2444967,1280.7
-15.4267467,28.2408667,1288
-15.4237783,28.2441967,1264.6
-15.4265617,28.241345,1289.2
-15.4237783,28.2435483,1297.9
-15.426435,28.2415383,1240.1
-15.4267483,28.2410783,1274.6
-15.423495,28.2440117,1269
-15.4266717,28.2414717,1291.2
-15.4235267,28.2436533,1261.4
-15.4236333,28.2437483,1278
-15.4239367,28.2436133,1284.8
-15.4237883,28.2439583,1263.8
-15.4268467,28.24101,1276.5
-15.4265567,28.240655,1268.6
-15.423675,28.243645,1270.1
-15.4268867,28.2411183,1298.5
-15.4238733,28.24397,1281
-15.4235117,28.2434383,1293.5
-15.4234683,28.2435,1276.6
-15.4239167,28.2441683,1274.3
-15.42693,28.2405117,1285.2
-15.423985,28.2441967,1272.3
-15.426815,28.240385,1277.7
-15.4233833,28.2432283,1282.3
-15.4272417,28.2414167,1275.7
-15.4270967,28.2413183,1282.2
-15.4240233,28.243315,1280.2
-15.4235883,28.24326,1275.3
-15.4231017,28.24314,1297.1
-15.4271017,28.24109,1287.8
-15.4230517,28.2428617,1273.2
-15.4273283,28.240655,1303.2
-15.4269067,28.240415,1280.5
-15.4235567,28.2430817,1285.6
-15.4232517,28.2431183,1270.4
-15.427235,28.240495,1304
-15.4235183,28.242815,1287.2
-15.423265,28.242815,1283.5
-15.423465,28.2425967,1273
-15.4232067,28.2427667,1260.3
-15.43078,28.2475117,1266.4
-15.4230967,28.2424783,1292.7
-15.4232567,28.24236,1291.1
-15.42297,28.24203,1273.1
-15.4234133,28.2421283,1291.2
-15.4230167,28.241555,1278.1
-15.42341,28.242355,1275.7
-15.4247733,28.241115,1301.7
-15.4231667,28.2418667,1246.4
-15.4247917,28.2416617,1289.9
-15.4232383,28.2418883,1273.4
-15.4247467,28.2412417,1301.1
-15.4232183,28.242205,1282.8
